speaker,year,GroupCount,mean,CI_1,CI_2
Dennis Geoffrey Jensen,2007,29,-0.0161589424269915,-1.46156281906845,1.51881156924753
Malcolm Bligh Turnbull,2009,95,2.45523704033038,1.8903004913331,3.04814769280394
Scott John Morrison,2016,7,2.816704728761,0.463721678759628,4.74031899358267
Malcolm Bligh Turnbull,2016,13,2.92853309236082,1.51463282287224,4.28602480927416
Scott John Morrison,2015,20,2.98008690622447,0.832999144124357,5.05992305715921
Julia Eileen Gillard,2007,6,3.05125481956469,-2.25061543046106,5.52336437187303
Malcolm Bligh Turnbull,2015,38,3.10226210537075,2.15000961142371,4.14443509747099
Julia Eileen Gillard,2010,96,3.13633950780475,2.38414311107675,3.80472004805168
John Winston Howard,2007,102,3.17651471666497,2.51198496969725,3.87161956776734
Scott John Morrison,2022,5,3.17860397550115,1.81620623045155,4.502757120153
Scott John Morrison,2012,11,3.26263921356899,1.66530925005266,4.57782623502333
Tony John Abbott,2013,124,3.37536281489272,2.74981886338407,4.05847654365968
Tony John Abbott,2010,58,3.43826811374795,2.65134233770034,4.18392475332176
Kevin Michael Rudd,2006,5,3.50745395352431,0.88933543747951,6.88132352678027
Tony John Abbott,2014,263,3.51838553252114,3.09887697984464,3.9691898784135
Malcolm Bligh Turnbull,2017,53,3.61454937650718,2.73687508333373,4.63950775045217
Scott John Morrison,2008,19,3.63997755515415,1.53340607011285,7.46711179783166
Scott John Morrison,2009,34,3.64857200263929,2.67159317011034,4.77103959347689
Malcolm Bligh Turnbull,2008,16,3.66267263647555,1.54576951857137,5.81800422991266
Scott John Morrison,2017,21,3.71517912158366,2.30899244042866,4.73198727016676
Anthony Norman Albanese,2010,29,3.73516290456112,2.56433384331308,4.90415791585202
Anthony Norman Albanese,2007,76,3.76183728902301,3.11298718161939,4.44814192682478
Anthony Norman Albanese,2016,20,3.83484520780499,2.21870972099497,5.2750389349801
Anthony Norman Albanese,2019,54,3.86493338293135,2.85454249906884,5.14573342071419
Malcolm Bligh Turnbull,2010,35,3.86742361993225,2.52295222357705,4.88983662323448
Anthony Norman Albanese,2009,30,3.92578771365016,2.70429381195428,5.23133894901418
Scott John Morrison,2011,24,3.99915764542654,2.64600035791283,5.38861858074997
Anthony Norman Albanese,2012,50,4.0545185664225,2.76868526561368,5.77718881017975
Malcolm Bligh Turnbull,2007,199,4.05550798245097,3.59545178780258,4.55265576365791
Kevin Michael Rudd,2009,343,4.08776225927058,3.69640006159474,4.53114812107624
Anthony Norman Albanese,2008,32,4.12176708516278,2.92877209398485,5.12786954829172
Julia Eileen Gillard,2008,11,4.13574046706422,2.36185842380965,6.43893577066344
Tony John Abbott,2015,97,4.15202948548448,3.31931701421813,4.88214228235344
Kevin Michael Rudd,2010,129,4.29843997111636,3.70912898282106,4.9338699833321
Kevin Michael Rudd,2008,215,4.33884290313357,3.85039295189025,4.81542287253053
Tony John Abbott,2011,328,4.3487249048377,3.90970862689298,4.79709462238083
John Winston Howard,2006,57,4.36230282307223,3.36699755887977,5.93790986977634
Kevin Michael Rudd,2007,80,4.37864725874597,3.71852959547457,5.01999328864247
Julia Eileen Gillard,2011,656,4.48111077047124,4.2340720939348,4.7578280446647
Anthony Norman Albanese,2006,227,4.52974009284187,4.07528963434792,5.0085417223259
Anthony Norman Albanese,2015,24,4.61148246338006,3.20951553360921,6.43662321591477
Scott John Morrison,2020,66,4.7741862247689,3.99785561758893,5.72050783626469
Julia Eileen Gillard,2009,18,4.78037482755415,3.19541529790587,7.21911651243333
Peter Robert Garrett,2007,263,4.8143844739799,4.34994719913657,5.28773455066296
Julia Eileen Gillard,2012,345,4.83989546498399,4.50905312526959,5.20077065476956
Tony John Abbott,2012,217,4.88159482538501,4.49088979526195,5.35696572809077
Anthony Norman Albanese,2011,128,4.89684848946243,4.17583099264665,5.60112313496404
Julia Eileen Gillard,2013,115,4.95053614994508,4.26158014673845,5.77339914337375
Scott John Morrison,2018,50,4.98814619139479,4.07553689909407,5.88101896183254
Scott John Morrison,2019,51,5.15036466817258,4.18112119242216,6.14286894618289
Anthony Norman Albanese,2013,36,5.19620282176064,4.12510609780356,6.38797206701211
Anthony Norman Albanese,2021,62,5.48195769987859,4.79663458415852,6.21283149390443
Kevin Michael Rudd,2012,5,5.51421144862732,-3.45813773054647,8.71836700910545
Anthony Norman Albanese,2014,19,5.52203243710196,3.89175476556888,7.17719094893215
Anthony Norman Albanese,2017,15,5.53050149669064,3.78539002001542,7.42796113473152
Scott John Morrison,2021,110,5.56296805358352,4.93030811420448,6.3357866639583
Anthony Norman Albanese,2023,34,5.76475242874046,4.71863013846326,7.17249680677622
Malcolm Bligh Turnbull,2018,7,5.7738062683846,3.87553567142733,7.23432301892048
Anthony Norman Albanese,2020,25,6.39764942102978,4.47513813858301,8.04003499680222
Anthony Norman Albanese,2018,17,6.43858552316799,4.60400746466672,8.33393703588448
Anthony Norman Albanese,2022,54,6.46801176812947,5.64909125848982,7.55243528182997
