speaker,record_date,year,month,GroupCount,mean,CI_1,CI_2,median
Dennis Geoffrey Jensen,29-Nov-2006,2006,11,24,-0.35,-1.797,1.499,-0.699
Malcolm Bligh Turnbull,16-Jun-2010,2010,6,6,1,-1.969,2.325,1.461
Tony John Abbott,16-Jun-2010,2010,6,11,1.682,0.149,3.136,1.508
Dennis Geoffrey Jensen,15-Aug-2007,2007,8,5,1.586,-1.685,3.595,2.065
Kevin Michael Rudd,16-Jun-2010,2010,6,20,2.183,0.766,3.366,2.302
Tony John Abbott,01-Mar-2011,2011,3,91,2.147,1.483,2.82,2.396
Tony John Abbott,27-Oct-2013,2013,10,68,2.673,1.985,3.53,2.465
Anthony Norman Albanese,25-Feb-2008,2008,2,5,2.049,-0.326,2.939,2.507
Malcolm Bligh Turnbull,23-May-2009,2009,5,66,2.595,1.88,3.323,2.58
Scott John Morrison,25-Apr-2012,2012,4,8,2.586,0.85,4.262,2.589
Julia Eileen Gillard,23-Oct-2010,2010,10,89,3.071,2.307,3.904,2.678
Anthony Norman Albanese,11-Apr-2017,2017,4,4,2.645,1.36,3.93,2.713
Malcolm Bligh Turnbull,09-Oct-2015,2015,10,43,3.121,2.14,3.997,2.76
Scott John Morrison,23-May-2009,2009,5,24,2.989,2.124,3.924,2.774
Tony John Abbott,19-Nov-2014,2014,11,44,2.71,1.627,3.811,2.826
Malcolm Bligh Turnbull,29-Sep-2016,2016,9,8,2.721,0.8,4.752,2.864
Scott John Morrison,11-Apr-2017,2017,4,4,3.065,1.609,4.52,2.907
Malcolm Bligh Turnbull,05-Jan-2010,2010,1,56,3.191,2.31,4.051,2.931
Anthony Norman Albanese,04-Oct-2019,2019,10,51,3.838,2.716,5.177,2.959
Malcolm Bligh Turnbull,11-Apr-2017,2017,4,26,2.636,1.413,3.81,3.005
Anthony Norman Albanese,04-Oct-2012,2012,10,17,3.047,1.072,4.842,3.045
Julia Eileen Gillard,06-Sep-2008,2008,9,10,3.632,2.109,6.494,3.099
John Winston Howard,29-Nov-2006,2006,11,102,3.579,2.759,4.4,3.147
Scott John Morrison,24-Feb-2022,2022,2,5,3.179,1.921,4.639,3.221
Scott John Morrison,28-Nov-2020,2020,11,29,3.867,2.78,5.351,3.33
Tony John Abbott,06-Mar-2014,2014,3,84,3.957,3.19,4.676,3.363
Anthony Norman Albanese,23-May-2009,2009,5,22,3.649,2.151,5.376,3.404
Tony John Abbott,13-Jul-2014,2014,7,135,3.509,2.94,4.074,3.42
John Winston Howard,15-Aug-2007,2007,8,56,3.69,2.785,4.646,3.428
Malcolm Bligh Turnbull,06-Sep-2008,2008,9,16,3.663,1.584,5.697,3.436
Scott John Morrison,12-Sep-2011,2011,9,22,3.781,2.388,5.336,3.486
Tony John Abbott,23-Oct-2010,2010,10,26,3.818,2.511,5.215,3.523
Scott John Morrison,09-Oct-2015,2015,10,26,3.15,1.255,4.865,3.524
Tony John Abbott,09-Oct-2015,2015,10,97,4.152,3.398,5.025,3.559
Scott John Morrison,06-Sep-2008,2008,9,19,3.64,1.614,7.083,3.694
Kevin Michael Rudd,23-May-2009,2009,5,236,3.948,3.459,4.439,3.732
Malcolm Bligh Turnbull,29-Nov-2006,2006,11,101,3.881,3.276,4.499,3.751
Anthony Norman Albanese,29-Sep-2016,2016,9,15,3.811,2.126,5.484,3.832
Julia Eileen Gillard,10-Feb-2013,2013,2,21,4.513,3.001,6.097,3.89
Julia Eileen Gillard,05-Jan-2010,2010,1,17,3.637,2.243,5.049,3.893
Tony John Abbott,20-Jun-2013,2013,6,42,4.291,3.077,5.519,3.902
Anthony Norman Albanese,15-Aug-2007,2007,8,57,3.575,2.795,4.376,3.944
Kevin Michael Rudd,15-Aug-2007,2007,8,49,4.152,3.231,5.2,3.963
Anthony Norman Albanese,29-Nov-2006,2006,11,169,4.421,3.899,5.048,4.014
Anthony Norman Albanese,23-Oct-2010,2010,10,12,4.228,2.773,5.997,4.07
Malcolm Bligh Turnbull,15-Aug-2007,2007,8,98,4.235,3.606,4.965,4.077
Julia Eileen Gillard,01-Mar-2011,2011,3,216,4.083,3.61,4.539,4.101
Anthony Norman Albanese,25-Apr-2012,2012,4,33,4.574,3.006,7.121,4.111
Anthony Norman Albanese,09-Oct-2015,2015,10,29,4.49,3.143,5.737,4.118
Anthony Norman Albanese,25-Apr-2019,2019,4,3,4.317,3.232,6.281,4.152
Malcolm Bligh Turnbull,23-Nov-2017,2017,11,27,4.557,3.233,5.89,4.166
Anthony Norman Albanese,05-Jan-2010,2010,1,23,4.342,3.272,5.56,4.232
Anthony Norman Albanese,20-Jun-2013,2013,6,16,4.498,2.991,6.648,4.252
Tony John Abbott,05-Jan-2010,2010,1,21,3.888,2.745,4.856,4.255
Tony John Abbott,10-Feb-2013,2013,2,14,4.042,1.8,5.953,4.255
Kevin Michael Rudd,05-Jan-2010,2010,1,211,4.459,4.009,5.026,4.331
Julia Eileen Gillard,12-Sep-2011,2011,9,440,4.676,4.358,4.989,4.342
Kevin Michael Rudd,12-Sep-2011,2011,9,3,4.353,3.18,6.057,4.363
Kevin Michael Rudd,06-Sep-2008,2008,9,172,4.328,3.793,4.905,4.421
Anthony Norman Albanese,06-Mar-2014,2014,3,7,3.904,1.051,5.987,4.44
Kevin Michael Rudd,29-Nov-2006,2006,11,36,4.567,3.772,5.527,4.576
Anthony Norman Albanese,06-Sep-2008,2008,9,27,4.506,3.298,5.764,4.608
Julia Eileen Gillard,04-Oct-2012,2012,10,149,4.439,3.974,4.934,4.656
Tony John Abbott,04-Oct-2012,2012,10,78,4.678,3.957,5.412,4.681
Anthony Norman Albanese,01-Mar-2011,2011,3,31,4.014,3.05,4.989,4.697
Anthony Norman Albanese,12-Sep-2011,2011,9,97,5.179,4.294,6.004,4.705
Kevin Michael Rudd,25-Feb-2008,2008,2,43,4.383,3.567,5.061,4.722
Anthony Norman Albanese,04-May-2006,2006,5,77,4.718,4.023,5.511,4.73
Peter Robert Garrett,29-Nov-2006,2006,11,81,4.814,3.993,5.782,4.779
Julia Eileen Gillard,29-Nov-2006,2006,11,5,4.742,2.683,6.367,4.837
Scott John Morrison,23-Nov-2017,2017,11,17,3.868,2.114,4.999,4.868
Tony John Abbott,25-Apr-2012,2012,4,139,4.996,4.461,5.565,4.875
Julia Eileen Gillard,25-Apr-2012,2012,4,196,5.144,4.62,5.635,4.895
Julia Eileen Gillard,20-Jun-2013,2013,6,94,5.048,4.29,5.837,4.95
Anthony Norman Albanese,03-Apr-2023,2023,4,34,5.765,4.689,7.151,4.958
Scott John Morrison,17-Dec-2018,2018,12,42,4.96,3.881,5.874,5.009
Anthony Norman Albanese,17-Dec-2018,2018,12,5,4.69,2.557,6.257,5.017
Scott John Morrison,04-Oct-2019,2019,10,38,5.271,4.188,6.509,5.105
Peter Robert Garrett,15-Aug-2007,2007,8,182,4.815,4.258,5.469,5.128
Scott John Morrison,04-Oct-2012,2012,10,3,5.068,3.035,6.158,5.227
Anthony Norman Albanese,13-Aug-2021,2021,8,56,5.207,4.52,5.875,5.264
Scott John Morrison,08-Jul-2018,2018,7,8,5.138,2.804,6.673,5.285
Anthony Norman Albanese,27-Oct-2013,2013,10,18,5.501,4.147,6.945,5.286
Anthony Norman Albanese,13-Jul-2014,2014,7,9,5.569,3.682,7.642,5.308
Tony John Abbott,12-Sep-2011,2011,9,237,5.194,4.707,5.678,5.417
Scott John Morrison,25-Apr-2019,2019,4,13,4.799,2.94,6.293,5.443
Scott John Morrison,05-Jan-2010,2010,1,10,5.232,2.998,7.529,5.497
Scott John Morrison,15-Apr-2020,2020,4,43,5.414,4.421,6.433,5.564
Scott John Morrison,13-Aug-2021,2021,8,104,5.597,4.852,6.395,5.751
Anthony Norman Albanese,06-Sep-2022,2022,9,52,6.533,5.677,7.637,5.752
Julia Eileen Gillard,23-May-2009,2009,5,7,6.591,3.668,11.524,5.928
Malcolm Bligh Turnbull,08-Jul-2018,2018,7,7,5.774,3.88,7.39,5.947
Anthony Norman Albanese,15-Apr-2020,2020,4,15,6.892,5.262,8.847,6.477
Anthony Norman Albanese,23-Nov-2017,2017,11,12,6.088,3.813,8.03,6.579
